86186983|55|11|50301228|55|11|1683742569|1683742569|0|SMS|SUCCESS 
59086214|55|11|95878990|55|11|1683741630|1683743160|1530|VOICE|SUCCESS 
73477400|55|11|79584989|55|11|1683743212|1683743220|8|VOICE|FAILURE 
92260560|55|11|50210591|55|11|1683743213|1683743220|7|VOICE|SUCCESS 
85111630|55|11|97786948|55|11|1683741784|1683742620|836|VOICE|SUCCESS 
42511594|55|11|47206653|55|11|1683742617|1683742620|3|VOICE|FAILURE 
43950380|55|11|51487716|55|11|1683741757|1683743100|1343|VOICE|SUCCESS 
85038618|55|11|47565928|55|11|1683725566|1683743100|17534|VOICE|SUCCESS 
49200607|55|11|40971483|55|11|1683729092|1683743040|13948|VOICE|FAILURE 
53764419|55|11|50411793|55|11|1683742289|1683742740|451|VOICE|SUCCESS 
93468619|55|11|82228505|55|11|1683742735|1683742740|5|VOICE|SUCCESS 
79009331|55|11|40334578|55|11|1683742836|1683743400|564|VOICE|SUCCESS 
54138784|55|11|56780683|55|41|1683741658|1683742860|1202|VOICE|SUCCESS 
54267455|55|41|76349158|55|11|1683742851|1683742860|9|VOICE|SUCCESS 
99165827|55|11|42568376|55|11|1683742977|1683742980|3|VOICE|SUCCESS 
48596047|55|61|80525154|55|11|1683742028|1683742740|712|VOICE|SUCCESS 
51761889|55|11|91674263|55|11|1683741314|1683742860|1546|VOICE|SUCCESS 
58404833|55|11|61301845|55|11|1683741657|1683741657|0|SMS|SUCCESS 
93943431|55|11|87343266|55|11|1683734693|1683742680|7987|VOICE|SUCCESS 
69653216|55|11|66674820|55|12|1683741653|1683742920|1267|VOICE|SUCCESS 
85139600|55|11|91487213|55|61|1683742847|1683743040|193|VOICE|SUCCESS 
90174580|55|11|82274230|55|11|1683742611|1683742920|309|VOICE|SUCCESS 
95143919|55|11|92268375|55|11|1683742419|1683742980|561|VOICE|SUCCESS 
49513556|55|11|76596386|55|11|1683740475|1683743220|2745|VOICE|SUCCESS 
45259274|55|11|55080684|55|11|1683741976|1683743100|1124|VOICE|FAILURE 
47037461|55|11|40635576|55|11|1683741612|1683741612|0|SMS|SUCCESS 
42816120|55|11|53572873|55|11|1683741512|1683742620|1108|VOICE|SUCCESS 
68707179|55|11|45639572|55|11|1683742671|1683742680|9|VOICE|SUCCESS 
49069091|55|11|58977214|55|11|1683732274|1683732274|0|SMS|SUCCESS 
85311946|55|41|65794494|55|11|1683742495|1683742500|5|VOICE|SUCCESS 
83584020|55|11|58514558|55|11|1683742402|1683742402|0|SMS|FAILURE 
80477203|55|41|56339612|55|11|1683742653|1683742860|207|VOICE|SUCCESS 
87038344|55|11|89794799|55|11|1683741935|1683741935|0|SMS|FAILURE 
49943755|55|11|74778959|55|11|1683740853|1683742560|1707|VOICE|SUCCESS 
41506701|55|11|52245071|55|11|1683741793|1683741793|0|SMS|SUCCESS 
54515155|55|21|74551007|55|11|1683737236|1683737236|0|SMS|FAILURE 
66751224|55|11|85802032|55|11|1683742656|1683742800|144|VOICE|SUCCESS 
73184154|55|11|48453441|55|11|1683742043|1683742043|0|SMS|SUCCESS 
83424829|55|11|77577536|55|11|1683742932|1683743280|348|VOICE|SUCCESS 
47147543|55|11|41722564|55|11|1683741965|1683741965|0|SMS|SUCCESS 
49139797|55|11|71608634|55|11|1683740914|1683742500|1586|VOICE|FAILURE 
86934996|55|11|85507720|55|11|1683743233|1683743280|47|VOICE|SUCCESS 
55513497|55|11|67725340|55|11|1683741348|1683743100|1752|VOICE|SUCCESS 
60659015|55|11|93142190|55|11|1683742480|1683743400|920|VOICE|SUCCESS 
